
Alpha Beam with Ernie,"Michael Callahan (programmer), Preston Stuart (graphics)",Atari,1983,Educational,Co-developed by Children's Computer Workshop

Amidar,Vazio,Vazio,Parker Brothers,1982,Action,licensed by Konami

Armor Ambush,Vazio,Vazio,APh Technological Consulting,1982,"Action, Racing / Driving"
Artillery Duel,Vazio,Vazio,Action Graphics,1983,Strategy,

Artillery Duel/Chuck Norris Superkicks,Vazio,Vazio,Xonox,1983,Strategy,double-ended cartridge

Artillery Duel/Ghost Manor,Vazio,Vazio,Xonox,1983,Strategy,double-ended cartridge

Artillery Duel/Spike's Peak,Vazio,Vazio,Xonox,1983,Strategy,double-ended cartridge

Assault,Vazio,Vazio,Bomb,1983,Action,

Asterix,Steve Woita,Atari,1983,Action,Primarily a PAL release. Same game as Taz but with altered graphics.
,vazio
Asteroids,Brad Stewart,Atari,1981,Action,
,vazio
Astroblast,Vazio,Vazio,APh Technological Consulting,1982,Action,conversion of Intellivision Astrosmash

Astronomer,Vazio,Vazio,Alex Pietrow,2018,Simulation,A astronomy simulator where the player can use a telescope to observe stars. It is a pack in game for the Retron 77.

Atari Video Cube,Atari,1983,Strategy,Originally released as mail-order through Atari Club.
,vazio,vazio
Atlantis,Vazio,Vazio,Imagic,1982,Action,

Atlantis II,Vazio,Vazio,Imagic,1982,Action,

BASIC Programming,Warren Robinett,Atari,1979,Educational,
,vazio
BMX Airmaster,Vazio,Vazio,Sculptured Software,1989,"Action, Sports"
Bachelor Party,Vazio,Vazio,Mystique,1982,"Adult, Action"
Bachelorette Party,Vazio,Vazio,PlayAround,"Adult, Action",Released as a 2-in-1 cart with Burning Desire

Backgammon,Craig Nelson,Atari,1979,Strategy,
,vazio
Bank Heist,Vazio,Vazio,20th Century Fox,1983,"Action, Racing / Driving"
Barnstorming,Vazio,Vazio,Activision,1982,Action,

Base Attack,Vazio,Vazio,Home Vision,1983?,shooter,Original version of Z-Tack

Basic Math AKA Fun With Numbers,Gary Palmer,Atari,1977,Educational,One of the nine Atari 2600 launch games
,vazio
Basketball,Alan Miller,Atari,1978,Sports,
,vazio
Battlezone,Mike Feinstein and Brad Rice,Atari,1983,"Action, Simulation",

Beamrider,Vazio,Vazio,Cheshire Engineering,1983,Action,

Beany Bopper,Vazio,Vazio,Sirius Software,1982,Action,

Beat Em and Eat Em,Vazio,Vazio,Mystique,1982,"Adult, Action"
Bee-Ball,Vazio,Vazio,Ivan Machado,2007,Action,

Bell Hopper,Vazio,Vazio,Tomas Härdin,2011,Action,A demake of Winterbells. Placed 5th in the game development competition at Assembly Summer 2011.

Berenstain Bears,Vazio,Vazio,Coleco,1983,Educational,Kid Vid Voice Module required to function

Bermuda,Vazio,Vazio,Suntek?,1983,Shooter,Hack of River Raid

Bermuda Triangle,Vazio,Vazio,Data Age,1982,Action,

Berzerk,Dan Hitchens,Atari,1982,Action,Licensed by Stern Electronics
,vazio
Big Bird's Egg Catch,Christopher Omarzu,Atari,1983,"Educational, Strategy",Co-developed by Children's Computer Workshop

Bigfoot Family Search,Vazio,Vazio,Jason Santuci and Bobby Alexander,vazio,vazio,vazio
Birthday Mania,Vazio,Vazio,"Tokar,Personal Games Company,1984,Action
Blackjack,Bob Whitehead,Atari,1977,Simulation,One of the nine Atari 2600 launch games
,vazio
Blue Print,Vazio,Vazio,CBS Electronics,1983,Action,licensed by Bally Midway

Bobby Is Going Home,Vazio,Vazio,Bit Corporation,1983,
,vazio
Boing!,Vazio,Vazio,First Star Software,1983,Action,

Boulder Dash,Vazio,Vazio,Thomas Jentzsch and Andrew Davie,2011,Action,

Bowling,Larry Kaplan,Atari,1979,Sports,
,vazio
Boxing,Vazio,Vazio,Activision (Bob Whitehead),1980,Sports,

Brain Games,Larry Kaplan,Atari,1978,"Educational, Strategy",

Breakout,Brad Stewart,Atari,1978,Action,
,vazio
Bridge,Vazio,Vazio,Activision (Larry Kaplan),1980,Strategy,

Buck Rogers: Planet of Zoom,Vazio,Vazio,Sega,1983,Action,

Bugs,Vazio,Vazio,Data Age,1982,Action,

Bump 'n' Jump,Vazio,Vazio,Mattel Electronics,1983,"Action, Racing / Driving"
Bumper Bash,Vazio,Vazio,Spectravision,1983,Action,

BurgerTime,Vazio,Vazio,Mattel Electronics,1982,Action,licensed by Data East USA

Burning Desire,Vazio,Vazio,PlayAround,"Adult, Action",Released as a 2-in-1 cart with Bachelorette Party

Busy Police,Vazio,Vazio,Zellers,unlicensed reproduction of Keystone Kapers
,vazio,vazio
Cakewalk,Vazio,Vazio,CommaVid,1983,Action,

California Games,Vazio,Vazio,Epyx,1987,Sports,

Canyon Bomber,David Crane,Atari,1979,Action,
,vazio
Carnival,Vazio,Vazio,Woodside Design Associates,1982,Action,

Casino,Bob Whitehead,Atari,1978,Strategy,
,vazio
Cathouse Blues,Vazio,Vazio,PlayAround,Adult,
,vazio
Centipede,Atari,1983,Action,
,vazio,vazio
Challenge,Vazio,Vazio,Funvision,vazio,vazio,vazio
Challenge of Nexar,Vazio,Vazio,Sirius Software,1982,Action,

Chase the Chuck Wagon,Vazio,Vazio,TMQ Software,1983,Action,

Checkers,Vazio,Vazio,Activision (Alan Miller),1980,Strategy,

Chetiry,Vazio,Vazio,"Chris Walton, Fred Quimby",Atari Age,Puzzle
China Syndrome,Vazio,Vazio,Spectravision,1983,Action,

Chopper Command,Vazio,Vazio,Activision (Bob Whitehead),1982,Action,

Chuck Norris Superkicks,Vazio,Vazio,Xonox,1983,Action,

Chuck Norris Superkicks/Ghost Manor,Vazio,Vazio,Xonox,1983,Action,double-ended cartridge

Chuck Norris Superkicks/Spike's Peak,Vazio,Vazio,Xonox,1983,Action,double-ended cartridge

Circus Atari,Michael Lorenzen,Atari,1980,Action,
,vazio
Circus Convoy,Vazio,Vazio,Audacity Games,2021,Action Adventure,"First game from publisher founded by David Crane
Climber 5,Vazio,Vazio,Dennis Debro,2004,Action,Included in the Activision Anthology.[22]Included in the Atari Flashback 2 as Atari Climber.

Coconuts,Vazio,Vazio,Telesys,1982,Action,

Codebreaker,Unknown,Atari,1978,Strategy,
,vazio
Combat,"Larry Wagner, Joe Decuir",Atari,1977,Action,One of the nine Atari 2600 launch games

Commando,Vazio,Vazio,Imagineering,1988,Action,licensed by Data East USA

Commando Raid,Vazio,Vazio,James Wickstead Design Associates,1982,Action,

Communist Mutants from Space (cassette),Vazio,Vazio,Starpath,1982,Action,

Condor Attack,Vazio,Vazio,Ultravision,
,vazio,vazio
Confrontation,Vazio,Vazio,Answer Software,1983,Strategy,Only originally available directly from Answer Software for a short time.

Congo Bongo,Vazio,Vazio,Sega,1983,Action,

Conquest of Mars,Vazio,Vazio,Champ Games (John W. Champeau),2006,Action,Clone of Atari 8-bit family game Caverns of Mars[28]

Cookie Monster Munch,Gary Stark,Atari,1983,Educational,Co-developed by Children's Computer Workshop.
,vazio
Cosmic Ark,Vazio,Vazio,Imagic (Rob Fulop),1982,Action,

Cosmic Commuter,Vazio,Vazio,Activision,1984,Action,

Cosmic Corridor,Vazio,Vazio,Zimag,NTSC release of Bit Corporation's Space Tunnel
,vazio,vazio
Cosmic Creeps,Vazio,Vazio,Telesys,1982,Action,

Cosmic Free Fire,Vazio,Vazio,Action Hi-Tech,vazio,vazio,vazio
Cosmic Swarm,Vazio,Vazio,CommaVid,1982,Action,

Crab Control,Vazio,Vazio,Action Hi-Tech,vazio,vazio,vazio
Crackpots,Vazio,Vazio,Activision,1983,Action,

Crash Dive,Vazio,Vazio,20th Century Fox,1983,Action,

Crazy Climber,Alex Leavens,Atari,1983,Action,Licensed by Nihon Bussan Co. Mail-order exclusive through Atari Club.
,vazio
Creature Strike,Vazio,Vazio,Home Entertainment Suppliers,Shooter,"Released as part of a ""2 PAK SPECIAL"""
,vazio
Cross Force,Vazio,Vazio,Spectravision,1983,Action,

Crossbow,Atari,1987,Action,Licensed by Exidy
,vazio,vazio
Cruise Missile,Vazio,Vazio,Froggo,Same game as Exocet released by Panda
,vazio,vazio
Crypts of Chaos,Vazio,Vazio,20th Century Fox,1982,"Adventure, Role-Playing (RPG)"
Crystal Castles,"Peter C. Niday (programmer), Robert Vieira (sound), Michael Kosaka (graphics)",Atari,1984,Action
Cubicolor,Vazio,Vazio,Rob Fulop,Strategy,
,vazio
Custer's Revenge,Vazio,Vazio,Mystique,1982,"Adult, Western"
Dancing Plate,Vazio,Vazio,Bit Corporation,PAL release
,vazio,vazio
Dark Cavern,Vazio,Vazio,APh Technological Consulting,1982,conversion of Intellivision Night Stalker
,vazio
Dark Chambers,John Palevich,Atari,1988,Action,
,vazio
Deadly Discs,Vazio,Vazio,APh Technological Consulting,1983,Action,reissue of M Network's Tron: Deadly Discs

Deadly Duck,Vazio,Vazio,Sirius Software,1982,Action,

Death Trap,Vazio,Vazio,Avalon Hill,1983,"Action, Strategy"
Defender,Bob Polaro,Atari,1982,Action,Licensed by Williams Electronics
,vazio
Defender II,"Bill Aspromonte (programmer), Andrew Fuchs (sound)",Atari,1988,Action,Re-release of Stargate

Demolition Herby,Vazio,Vazio,Telesys,1983,Action,

Demon Attack,Vazio,Vazio,Imagic (Rob Fulop),1982,Fixed shooter,

Demons to Diamonds,Nick Turner,Atari,1982,Action,
,vazio
Desert Falcon,Bob Polaro,Atari,1987,Action,
,vazio
Dice Puzzle,Vazio,Vazio,Panda,
,vazio,vazio
Dig Dug,Atari,1983,Action,Licensed by Namco
,vazio,vazio
Dishaster,Vazio,Vazio,Zimag,1983,Action,Zimag's NTSC release of Bit Corporation's Dancing Plate

Dodge 'Em,Carla Meninsky,Atari,1980,"Action, Racing",

Dolphin,Vazio,Vazio,Activision,1983,Action,

Donald Duck's Speedboat,Suki Lee,Atari,1983,Action,Only released in Brazil
,vazio
Donkey Kong,Vazio,Vazio,Imaginative Systems Software,1982,Action,"licensed by Nintendo Co.
Donkey Kong Junior,Vazio,Vazio,Woodside Design Associates,1983,Action,"licensed by Nintendo Co.
Double Dragon,Vazio,Vazio,Imagineering,1989,Action,licensed by Technōs Japan

Double Dunk,Matthew Hubbard,Atari,1989,Sports,
,vazio
Draconian,Vazio,Vazio,"SpiceWare (Darrell Spice, Speech, Sound Effects by Michael Haas",AtariAge
Dragon Treasure,Vazio,Vazio,Zellers,unlicensed reproduction of Dragonfire
,vazio,vazio
Dragonfire,Vazio,Vazio,Imagic (Bob Smith),1982,Action,

Dragonstomper (cassette),Vazio,Vazio,Starpath,1982,Role-Playing (RPG),

Dragster,Vazio,Vazio,Activision (David Crane),1980,Racing / Driving,

Duck Attack!,Vazio,Vazio,Will Nicholes,2010,Action-Adventure,Loosely based on Adventure

Dungeon,Vazio,Vazio,David Weavil,2009,Adventure,

Dungeon II: Solstice,Vazio,Vazio,David Weavil,2019,Adventure,

Dungeon Master,Vazio,Vazio,Home Entertainment Suppliers,"Action, Adventure","Released as part of a ""2 pak special"""

E.T. the Extra-Terrestrial,Howard Scott Warshaw,Atari,1982,Adventure,Considered the worst video game of all time and cause of the “video game crash of 1983”
,vazio
Earth Attack,Vazio,Vazio,Zellers,unlicensed reproduction of Defender
,vazio,vazio
Earth Dies Screaming,Vazio,Vazio,Sirius Software,1982,Action,

Edtris 2600,Vazio,Vazio,Ed Federmeyer,1995,Strategy,Clone of Tetris

Eggomania,Vazio,Vazio,James Wickstead Design Associates,1982,Action,

Eli's Ladder,Vazio,Vazio,Simage,1982,Educational,

Encounter at L-5,Vazio,Vazio,Data Age,1982,Action,

Enduro,Vazio,Vazio,Activision,1983,Racing / Driving,

Entombed,Vazio,Vazio,Western Technologies,1983,"Action, Strategy"
Escape from the Mindmaster (cassette),Vazio,Vazio,Starpath,1982,Adventure,

Espial,Vazio,Vazio,Orca Corporation,1984,Action,

Euchre,Vazio,Vazio,Erik Eid,2002,Strategy,Included in the Activision Anthology as Video Euchre

Exocet,Vazio,Vazio,Panda,1983,Action,Same game as Cruise Missile released by Froggo

Exocet Missile,Vazio,Vazio,John Sands,vazio,vazio,vazio
Extra Terrestrials,Vazio,Vazio,Herman Quast,1984,Action,

Fall Down,Vazio,Vazio,Aaron Curtis,2005,Action,

Fantastic Voyage,Vazio,Vazio,Sirius Software,1982,Action,

Farmer Dan,Vazio,Vazio,Zellers,vazio,vazio,vazio
Fast Eddie,Vazio,Vazio,Sirius Software,1982,Action,

Fast Food,Vazio,Vazio,Telesys,1982,Action,

Fatal Run,Steve Aguirre,Atari,1990,"Action, Racing / Driving",PAL-only release; developed by Sculptured Software

Fathom,Vazio,Vazio,Imagic (Rob Fulop),1983,Action,

Fighter Pilot,Vazio,Vazio,Activision,vazio,vazio,vazio
Final Approach,Vazio,Vazio,Apollo,1982,"Simulation, Strategy"
Fire Fighter,Vazio,Vazio,Imagic (Brad Stewart),1982,Action,

Fire Fly,Vazio,Vazio,Mythicon,1983,Action,

Fireball (cassette),Vazio,Vazio,Starpath,1982,Action,

Fisher Price,Vazio,Vazio,CCE,"Same game as Aquatak, Sea Hunt and Scuba Diver"
,vazio
Fishing Derby,Vazio,Vazio,Activision (David Crane),1980,"Action, Sports"
Flag Capture,Jim Huether,Atari,1978,Strategy,
,vazio
FlapPing,Vazio,Vazio,Kirk Israel,2004,Action,

Flash Gordon,Vazio,Vazio,Sirius Software,1983,Action,

Football,Bob Whitehead,Atari,1978,Sports,
,vazio
Four-Play,Vazio,Vazio,Zach Matley,2006,Strategy,

Frankenstein's Monster,Vazio,Vazio,Data Age,1983,Action,

Freeway,Vazio,Vazio,Activision (David Crane),1981,Action,

Frogger,Vazio,Vazio,APh Technological Consulting,1982,Action,

Frogger II: ThreeeDeep!,Vazio,Vazio,Parker Brothers,1984,Action,

Frogs and Flies,Vazio,Vazio,APh Technological Consulting,1982,Action,conversion of Intellivision Frog Bog

Front Line,Vazio,Vazio,Individeo,1984,Action,licensed by Taito

Frostbite,Vazio,Vazio,Activision,1983,Action,

G.I. Joe: Cobra Strike,Vazio,Vazio,Parker Brothers,1983,Action,

Galactopus!,Vazio,Vazio,Ric Pryor,2015,Action/Shooter,

Galagon,Vazio,Vazio,"John W. Champeau, Ross Keenum",AtariAge,2019
Galaxian,"Mark Ackerman, Glen Parker and Tom Calderwood",Atari,1983,Action,Licensed by Namco

Gamma-Attack,Vazio,Vazio,Gammation,1983,Action,"Only one copy known to exist. It was listed on eBay for $500
Gangster Alley,Vazio,Vazio,Spectravision,1983,Action,

Gas Hog,Vazio,Vazio,Spectravision,1983,Action,

Gauntlet,Vazio,Vazio,Answer Software,1983,Action,

General Retreat,Vazio,Vazio,PlayAround,1983,"Adult, Western"
Ghost Manor,Vazio,Vazio,Xonox,1983,Action,

Ghost Manor/Spike's Peak,Vazio,Vazio,Xonox,1983,Action,double-ended cartridge

Ghostbusters,Vazio,Vazio,Activision (David Crane),1985,Action,

Ghostbusters II,Vazio,Vazio,Activision,1990/1992,Action,PAL-only

Gigolo,Vazio,Vazio,PlayAround,Adult,Released as a 2-in-1 cart with Bachelor Party
,vazio
Glacier Patrol,Vazio,Vazio,VSS,1983,Action,

Glib,Vazio,Vazio,Qualtronic Devices,1983,Strategy,

Go Fish!,Vazio,Vazio,Bob Montgomery,2005,Action,

Golf,Michael Lorenzen,Atari,1980,Sports,
,vazio
Gopher,Vazio,Vazio,James Wickstead Design Associates,1982,Action,

Gorf,Vazio,Vazio,Roklan Corporation,1982,Action,licensed by Bally Midway

Grand Prix,Vazio,Vazio,Activision (David Crane),1982,Racing / Driving,

Gravitar,Atari,1983,Action,
,vazio,vazio
Great Escape,Vazio,Vazio,Bomb,1983,Action,

Gremlins,"Scott Smith (programmer), Mimi Nyden (graphics), Robert Vieira (sound)",Atari,1984,Action
Grizzards,Vazio,Vazio,"Bruce-Robert Pocock,AtariAge,2022,RPG
Guardian,Vazio,Vazio,Apollo,1982,Action,

Gunfight,Vazio,Vazio,Manuel Rotschkar,2001,Action,

Gyruss,Vazio,Vazio,Roklan Corporation,1984,Action,licensed by Konami

H.E.R.O.,Vazio,Vazio,Activision,1984,Action,

Halloween,Vazio,Vazio,VSS,1983,Action,

Halo 2600,Vazio,Vazio,Ed Fries,2010,Action,Based on Bungie's Halo series; Fries was involved in Microsoft's acquisition of Bungie

Hangman,Alan Miller,Atari,1978,Strategy,
,vazio
Harbor Escape,Vazio,Vazio,Panda,
,vazio,vazio
Haunted House,James Andreasen,Atari,1982,"Action, Adventure",

Heist,Vazio,Vazio,Timothy Marsh,2019,Action,

High Score Screen Burn Slow Burn,Vazio,Vazio,BJ Best,2010,Action,High Score Screen Burn Slow Burn: The game that’s maybe not a game!

Home Run,Bob Whitehead,Atari,1978,Sports,
,vazio
Human Cannonball,Unknown,Atari,1978,Strategy,Based on an unreleased arcade concept by Owen Rubin
,vazio
Hunchy II,Vazio,Vazio,Chris Walton,2005,Action,

Hunt & Score (see Concentration),Jim Huether,Atari,1978,Strategy,
,vazio
I Want My Mommy,Vazio,Vazio,Zimag,1983,Action,NTSC release of Bit Corporation's Open Sesame

Ice Hockey,Vazio,Vazio,Activision (Alan Miller),1981,"Action, Sports"
Ikari Warriors,Atari,1989,Action,Licensed by SNK
,vazio,vazio
Inca Gold,Vazio,Vazio,Zellers,Zeller's NTSC release of Funvision's Inca Gold
,vazio,vazio
Indy 500,Ed Riddle,Atari,1977,Racing,One of the nine Atari 2600 launch games
,vazio
Infiltrate,Vazio,Vazio,Apollo,1982,"Action, Strategy"
International Soccer,Vazio,Vazio,APh Technological Consulting,1982,Sports,

James Bond 007,Vazio,Vazio,On Time Software,1983,Action,

Jammed,Vazio,Vazio,Thomas Jentzsch,2001,Strategy,

Jawbreaker,Vazio,Vazio,On-Line Systems,1981,Action,

Journey Escape,Vazio,Vazio,Data Age,1982,Action,

Joust,Mike Feinstein and Kevin Osborn,Atari,1983,Action,Licensed by Williams Electronics
,vazio
Jr. Pac-Man,Ava-Robin Cohen,Atari,1986,Action,Licensed by Bally Midway
,vazio
Jungle Fever,Vazio,Vazio,PlayAround,1982,"Adult, Action"
Jungle Hunt,Mike Feinstein and John Allred,Atari,1983,Side-scrolling action,Licensed by Taito
,vazio
Juno First,Vazio,Vazio,Chris Walton,2009,Action,Clone of arcade game of the same name.[citation needed]

K.O. Cruiser,Vazio,Vazio,Devin Cook,2010,Sports,

Kaboom!,Vazio,Vazio,"Activision (Larry Kaplan,Activision,1981,Action
Kangaroo,Kevin Osborn,Atari,1983,Action,Licensed by Sun Electronics
,vazio
Karate,Vazio,Vazio,Ultravision,1982,Action,

Keystone Kapers,Vazio,Vazio,Activision,1983,Action,

Killer Satellites (cassette),Vazio,Vazio,Starpath,1982,Action,

King Kong,Vazio,Vazio,Software Electronics,1982,Action,

Klax,Steve DeFrisco,Atari,1990,"Action, Strategy",PAL-only. Last official game released for 2600.

Knight on the Town,Vazio,Vazio,PlayAround,"Adult, Action",Released as a 2-in-1 cart with Jungle Fever

Kool-Aid Man,Vazio,Vazio,Mattel Electronics,1983,Action,

Krull,Dave Staugas,Atari,1983,Action,
,vazio
Kung-Fu Master,Vazio,Vazio,Imagineering,1987,Action,licensed by Data East USA

Lady Bug,Vazio,Vazio,Champ Games (John W. Champeau),2006,Action,Clone of arcade game of the same name.[citation needed]

Lady in Wading,Vazio,Vazio,PlayAround,1982,"Adult, Action"
Laser Blast,Vazio,Vazio,Activision (David Crane),1981,Action,

Laser Gates,Vazio,Vazio,"Imagic,Imagic,1983,Action
Laser Volley,Vazio,Vazio,Zellers,unlicensed reproduction of Laser Gates
,vazio,vazio
Lochjaw,Vazio,Vazio,Apollo,1982,Action,Later released by Apollo as Shark Attack

Lock 'n' Chase,Vazio,Vazio,APh Technological Consulting,1982,Action,licensed by Data East USA.

London Blitz,Vazio,Vazio,Avalon Hill,1983,Strategy,

Lost Luggage,Vazio,Vazio,Apollo,1982,Action,

M*A*S*H,Vazio,Vazio,20th Century Fox,1982,Action,

M.A.D.,Vazio,Vazio,Western Technologies,1982,Action,

MagiCard,Vazio,Vazio,CommaVid,1981,
,vazio
Malagai,Vazio,Vazio,Answer Software,Action,
,vazio
Mangia,Vazio,Vazio,Spectravision,1983,Action,

Mappy,Vazio,Vazio,"John W. Champeau, Thomas Jentzsch",AtariAge,2019
Marauder,Vazio,Vazio,On-Line Systems,1982,
,vazio
Marble Craze,Vazio,Vazio,Paul Slocum,2002,Action,

Marine Wars,Vazio,Vazio,Digivision,1983,Action,PAL version released by Gakken.

Mario Bros.,Dan Hitchens,Atari,1983,Action,Licensed by Nintendo
,vazio
Master Builder,Vazio,Vazio,Spectravision,1983,Action,

Masters of the Universe: The Power of He-Man,Vazio,Vazio,Mattel Electronics,1983,Action,

Math Gran Prix,Suki Lee,Atari,1982,"Educational, Racing",

Maze Craze: A Game of Cops and Robbers,Rick Maurer,Atari,1980,Action,
,vazio
Mean Santa,Vazio,Vazio,John K. Harvey,2009,Action/Strategy,

Medieval Mayhem,Vazio,Vazio,SpiceWare (Darrell Spice Jr.),2006,Action,Remake of Warlords that adds arcade features missing from the original home version.

Mega Force,Vazio,Vazio,20th Century Fox,1982,Action,

MegaBoy,Vazio,Vazio,Dynacom,Educational,"The cartridge, the only known 64k Atari 2600 game
Megamania,Vazio,Vazio,Activision,1982,Action,

Midnight Magic,Glenn Axworthy,Atari,1986,Action,
,vazio
Millipede,"Dave Staugas (programmer), Jerome Domurat (graphics), Andrew Fuchs (sound), Robert Vieira (sound)",Atari,1984
Miner 2049er,Vazio,Vazio,Big Five Software,1983,Action,

Miner 2049er II,Vazio,Vazio,Big Five Software,1982,Action,

Mines of Minos,Vazio,Vazio,CommaVid,1983,Action,

Miniature Golf,Tom Reuterdahl,Atari,1979,"Simulation, Sports, Strategy"
Missile Command,Rob Fulop,Atari,1981,Action,
,vazio
Missile Control,Vazio,Vazio,Video Gems,Action,PAL-format
,vazio
Mission 3000 A.D.,Vazio,Vazio,Bit Corporation,1983,Action,

Mission Survive,Vazio,Vazio,Video Gems,Action,PAL-format
,vazio
Mogul Maniac,Vazio,Vazio,Video Soft,1983,"Action, Simulation
Monkey King,Vazio,Vazio,Alex Pietrow,Action,Strategic endless runner.
,vazio
Montezuma's Revenge: Starring Panama Joe,Vazio,Vazio,James Wickstead Design Associates,1984,Action,

Moon Patrol,Atari,1983,Action,licensed by Irem
,vazio,vazio
Moonsweeper,Vazio,Vazio,Imagic (Bob Smith),1983,Action,

MotoRodeo,Steve DeFrisco,Atari,1990,"Racing / Driving, Sports",Developed by Axlon

Motocross,Vazio,Vazio,Quelle,"Racing / Driving, Sports",

Motocross Racer,Vazio,Vazio,Xonox,1984,Racing / Driving,

Mountain King,Vazio,Vazio,VSS,1983,Action,

Mouse Trap,Vazio,Vazio,James Wickstead Design Associates,1982,Action,licensed by Exidy; reissued by Atari in 1988 (CX-26146)

Mr. Do!,Vazio,Vazio,Individeo,1983,Action,"licensed by Universal Co.
Mr. Do's Castle,Vazio,Vazio,Parker Brothers,1984,Action,"licensed by Universal Co.
Mr. Postman,Vazio,Vazio,Bit Corporation,
,vazio,vazio
Ms. Pac-Man,Mike Horowitz and Josh Littlefield,Atari,1983,Action,Licensed by Bally Midway[6]
,vazio
My Golf,Vazio,Vazio,Imagineering (company),1990,PAL-only
,vazio
Name This Game,Vazio,Vazio,James Wickstead Design Associates,1982,Action,

Night Driver,Rob Fulop,Atari,1980,"Action, Racing / Driving",

Night Stalker,Vazio,Vazio,M Network,1989,Action,PAL release of Dark Cavern

Nightmare,Vazio,Vazio,Sancho / Tang's Electronic Co.,Action,Panda released this game as Stunt Man
,vazio
No Escape!,Vazio,Vazio,Imagic,1983,Action,

Nuts,Vazio,Vazio,Technovision,PAL-only
,vazio,vazio
Obelix,"Suki Lee (programmer), Dave Jolly (graphics), Jeff Gusman (sound), Andrew Fuchs (sound)",Atari,1983
Ocean City Defender,Vazio,Vazio,Zellers,vazio,vazio,vazio
Off Your Rocker,Vazio,Vazio,Amiga,1983,Action,

Off the Wall,Atari,1989,Action,
,vazio,vazio
Oink!,Vazio,Vazio,Activision (Mike Lorenzen),1983,Action,

Okie Dokie,Vazio,Vazio,Bob Colbert,1996,Strategy,Included in the Activision Anthology

Omega Race,Vazio,Vazio,CBS Electronics,1983,Action,licensed by Bally Midway

Open Sesame,Vazio,Vazio,Bit Corporation,1983,Action,PAL release

Oscar's Trash Race,"Christopher Omarzu (programmer), Preston Stuart (graphics)",Atari,1983,"Educational, Racing / Driving"
Othello,Ed Logg,Atari,1980,Strategy,
,vazio
Out of Control,Vazio,Vazio,Avalon Hill,1983,"Action, Racing / Driving"
Outlaw,David Crane,Atari,1978,Action,
,vazio
Oystron,Vazio,Vazio,Piero Cavina,1997/1998,Action,Included in the Activision Anthology

Pac-Kong,Vazio,Vazio,Funvision,Action,A later PAL release of Funvision's Inca Gold
,vazio
Pac-Man,Tod Frye,Atari,1982,Action,Licensed by Namco
,vazio
Panda Chase,Vazio,Vazio,Home Vision,PAL-only
,vazio,vazio
Parachute,Vazio,Vazio,Gem International Corporation,1983,Action,PAL-only

Paris Attack,Vazio,Vazio,unknown,1982,Action / Shooter,PAL-only

Party Mix (cassette),Vazio,Vazio,Starpath,1983,"Action, Racing / Driving"
Pelé's Soccer AKA Championship Soccer,Steve Wright,Atari,1980,"Action, Sports",
